CNPJ,NomeLab
42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA
02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA
54.516.661/0001-01,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA
19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA
28.938.645/0001-99,PINUS INDUSTRIA QUIMICA E FARMACEUTICA LTDA
30.153.811/0001-93,GUERBET IMAGEM DO BRASIL LTDA
06.629.745/0001-09,NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA
17.440.261/0001-25,MYRALIS INDÚSTRIA FARMACÊUTICA LTDA
53.359.824/0004-61,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.
53.359.824/0001-19,BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.
36.674.526/0001-02,UPJOHN BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA.
18.268.051/0001-64,CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA
08.939.548/0001-03,INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A
17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA
58.430.828/0001-60,BLAU FARMACÊUTICA S.A.
79.634.572/0001-82,AS ERVAS CURAM INDUSTRIA FARMACEUTICA LTDA
58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA
29.346.301/0001-53,LABORATÓRIO FARMACÊUTICO VITAMED LTDA
25.773.037/0001-83,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
61.129.409/0001-05,OPHTHALMOS S/A
60.084.456/0001-09,LATINOFARMA INDUSTRIAS FARMACEUTICAS LTDA
28.614.626/0001-07,LABORATÓRIO DE EXTRATOS ALERGÊNICOS LTDA
82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
01.784.792/0001-03,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA
75.014.167/0001-00,NUNESFARMA DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS LTDA
92.265.552/0009-05,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
33.019.548/0001-32,SILVESTRE LABS QUÍMICA E FARMACÊUTICA LTDA
78.950.011/0001-20,HERBARIUM LABORATORIO BOTANICO LTDA
64.088.172/0001-41,ATIVUS FARMACÊUTICA LTDA
62.488.184/0001-38,INPHARMA LABORATORIOS LTDA
38.756.680/0001-40,DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA
27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA
68.032.192/0001-51,BIONATUS LABORATÓRIO BOTÂNICO LTDA
33.408.105/0001-33,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA
35.356.799/0001-38,LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
94.869.054/0001-31,LABORATÓRIOS LIBRA DO BRASIL LTDA
61.072.393/0001-33,PFIZER BRASIL LTDA
59.476.770/0001-58,PROCTER & GAMBLE DO BRASIL LTDA
55.980.684/0001-27,ZODIAC PRODUTOS FARMACÊUTICOS S/A
73.663.650/0001-90,RANBAXY FARMACÊUTICA LTDA
64.711.500/0001-14,UCB BIOPHARMA LTDA.
73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA
68.949.239/0001-46,UNITED MEDICAL LTDA
72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A
40.809.626/0001-68,BIOWELL AMERICA LTDA
38.909.503/0001-57,OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA
00.625.692/0001-63,TOMMASI IMPORTAÇÃO E EXPORTAÇÃO LTDA
74.232.034/0001-48,LABORATÓRIOS FERRING LTDA
00.317.372/0001-46,GALDERMA BRASIL LTDA
32.137.424/0001-99,ALKO DO BRASIL INDUSTRIA E COMERCIO LTDA
01.329.816/0001-26,PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MÉDICOS LTDA
01.440.590/0001-36,FRESENIUS MEDICAL CARE LTDA
00.413.925/0001-64,COLBRÁS INDÚSTRIA E COMÉRCIO LTDA
04.752.991/0001-10,BIOMM SA
01.233.103/0001-64,MAPPEL INDÚSTRIA DE EMBALAGENS S.A.
48.344.725/0007-19,ALTHAIA S.A INDÚSTRIA FARMACÊUTICA
00.376.959/0001-26,IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
19.136.432/0001-52,EXELTIS LABORATORIO FARMACEUTICO LTDA
00.923.140/0001-31,EMS SIGMA PHARMA LTDA
02.513.899/0001-71,GRIFOLS BRASIL LTDA
13.863.381/0001-84,MIDFARMA PRODUTOS FARMACEUTICOS LTDA
02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA
94.022.654/0001-60,LABORATORIO QUIMICO FARMACEUTICO TIARAJU LTDA.
21.798.065/0001-02,VERTEX FARMACEUTICA DO BRASIL LTDA.
02.456.955/0001-83,NATULAB LABORATÓRIO S.A
21.896.000/0001-91,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA
27.724.245/0001-18,ULTRAGENYX BRASIL FARMACEUTICA LTDA
02.552.927/0001-60,OCTAPHARMA BRASIL LTDA
02.501.297/0001-02,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.
08.055.634/0001-53,IMEC - INDÚSTRIA DE MEDICAMENTOS CUSTÓDIA LTDA
02.455.073/0001-01,CLARIS PRODUTOS FARMACÊUTICOS DO BRASIL LTDA
02.814.497/0001-07,CIMED INDUSTRIA S.A
01.858.973/0001-29,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
01.564.260/0001-52,WASSER FARMA LTDA
05.035.244/0001-23,SUN FARMACÊUTICA DO BRASIL LTDA
65.271.900/0001-19,NATIVITA IND. COM. LTDA.
03.108.098/0001-93,BLISFARMA INDÚSTRIA FARMACÊUTICA LTDA - ME
03.959.540/0001-95,CHEMICALTECH FARMACEUTICA LTDA
42.180.406/0001-43,GUERBET PRODUTOS RADIOLÓGICOS LTDA
03.978.166/0001-75,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA
04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA
02.817.180/0001-24,PHYTOLAB INDUSTRIA FARMACEUTICA EIRELI - EPP
53.452.157/0001-14,COLLECT IMPORTAÇÃO E COMÉRCIO LTDA
56.646.953/0001-86,LABORATORIO VITALAB LTDA
03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
64.171.697/0001-46,ACCORD FARMACÊUTICA LTDA
05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA
05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.
05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
04.338.716/0001-54,INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.
23.668.196/0001-92,MR LABORATÓRIOS FARMACÊUTICOS LTDA
04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA
03.993.167/0001-99,VIDFARMA INDÚSTRIA DE MEDICAMENTOS LTDA
04.415.365/0001-38,CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA
04.748.181/0009-47,LABORATÓRIOS BAGÓ DO BRASIL S/A
05.399.786/0001-85,UNICHEM FARMACÊUTICA DO BRASIL LTDA
05.254.971/0001-81,ZYDUS NIKKHO FARMACÊUTICA LTDA
05.090.043/0001-29,"DROXTER INDUSTRIA, COMÉRCIO E PARTICIPAÇÕES LTDA"
59.748.988/0001-14,JOHNSON & JOHNSON INDUSTRIAL LTDA.
25.210.463/0001-09,PTC FARMACEUTICA DO BRASIL LTDA.
07.670.111/0001-54,ARESE PHARMA LTDA
19.501.429/0001-90,MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA
24.563.776/0001-88,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
04.656.253/0001-79,UNITHER INDUSTRIA FARMACEUTICA LTDA.
06.283.144/0001-89,HOSPIRA PRODUTOS HOSPITALARES LTDA
07.207.572/0001-95,LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA
05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA
07.591.326/0001-80,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA
02.060.549/0001-05,FBM INDÚSTRIA FARMACÊUTICA LTDA
24.633.934/0001-29,CAMBER FARMACEUTICA LTDA
11.111.111/0001-91,EMPRESA DE TESTE LTDA. (VS01)
05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
07.718.721/0001-80,BEAUFOUR IPSEN FARMACÊUTICA LTDA
07.898.671/0001-60,SHIRE FARMACÊUTICA BRASIL LTDA.
07.986.222/0001-74,BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA
18.459.628/0001-15,BAYER S.A.
53.056.057/0001-79,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME
08.416.362/0001-70,EISAI LABORATÓRIOS LTDA
08.002.360/0001-34,BIOMARIN BRASIL FARMACÊUTICA LTDA
59.557.124/0001-15,RECKITT BENCKISER (BRASIL) LTDA
09.058.502/0001-48,FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA
14.555.259/0001-03,AMRYT BRASIL COMERCIO E IMPORTACAO DE MEDICAMENTOS LTDA
07.453.785/0001-05,"PHARMEDIC PHARMACEUTICALS IMPORTAÇÃO, DISTRIBUIÇÃO, COMÉRCIO E REPRESENTAÇÕES LTDA"
09.284.952/0001-59,KEDRION BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA
29.190.430/0001-03,GLOBAL REGULATORY PARTNERS BRASIL EIRELI
07.768.134/0001-04,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.
09.545.589/0001-88,MABRA FARMACEUTICA LTDA
61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
10.742.412/0004-01,BRACCO IMAGING DO BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA
08.157.293/0001-27,NATCOFARMA DO BRASIL LTDA
10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.
00.029.372/0001-40,GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA
11.424.477/0001-10,LEO PHARMA LTDA
11.291.720/0001-70,GADOR DO BRASIL - COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA
10.555.143/0001-13,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.
11.082.598/0001-21,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA
11.681.446/0001-45,MERZ FARMACÊUTICA COMERCIAL LTDA
11.643.096/0001-22,MYLAN LABORATORIOS LTDA
12.022.755/0001-76,GALLIA INDUSTRIA FARMACEUTICA LTDA
12.134.906/0002-69,"GEDEON RICHTER DO BRASIL IMPORTADORA, EXPORTADORA E DISTRIBUIDORA"
15.127.898/0001-30,MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA
05.452.889/0001-61,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA
13.109.151/0001-24,UNO HEALTHCARE COMÉRCIO DE MEDICAMENTOS LTDA.
30.872.270/0001-53,PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA
13.651.943/0001-26,MEDA PHARMA IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS FARMACÊUTICOS LTDA.
07.607.851/0001-46,EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA
14.665.928/0001-08,VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICOS LTDA
31.731.807/0001-28,SPECIALTY PHARMA GOIAS LTDA
14.806.008/0001-54,MOMENTA FARMACÊUTICA LTDA.
14.821.008/0001-23,MASTERS SPECIALITY PHARMA LTDA
17.625.281/0001-70,CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.
10.284.284/0001-49,ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO
15.800.545/0001-50,ABBVIE FARMACÊUTICA LTDA.
