,SUBSTÂNCIA
150,L-ALANINA;L-METIONINA;L-FENILALANINA;N-ACETIL CISTEÍNA;L-ISOLEUCINA;L-TREONINA;LEVOVALINA;L-TIROSINA;GLICINA;L-ARGININA;L-TRIPTOFANO;ACETATO DE LISINA;L-SERINA;L-HISTIDINA;GLICILTIROSINA;L-PROLINA;L-LEUCINA
151,FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;LEVOMETIONINA;ALANINA;ARGININA;LISINA
152,L-ALANINA;L-METIONINA;L-FENILALANINA;L-ISOLEUCINA;L-TREONINA;LEVOVALINA;L-LISINA;GLICINA;L-ARGININA;L-TRIPTOFANO;ACETILCISTEÍNA;L-SERINA;L-HISTIDINA;L-PROLINA;L-LEUCINA
153,GLICONATO DE CÁLCIO
154,TAURINA
155,FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;SULFATO DE ZINCO HEPTAIDRATADO;LEVOMETIONINA;ÓLEO DE OLIVA;ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;SULFATO DE MAGNÉSIO HEPTA-HIDRATADO;LEVOVALINA;ÓLEO DE PEIXE;SERINA;LEUCINA;GLICINA;TAURINA;ALANINA;ACETATO DE LISINA;CLORETO DE POTÁSSIO;GLICOSE MONOHIDRATADA;ARGININA
156,FENILALANINA;TRIPTOFANO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;SULFATO DE ZINCO HEPTAIDRATADO;LEVOMETIONINA;ÓLEO DE OLIVA;ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;PROLINA;CLORETO DE CÁLCIO DIIDRATADO;LEVOVALINA;ÓLEO DE PEIXE;SERINA;ACETATO DE SÓDIO TRIHIDRATADO;LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;TAURINA;ALANINA;ACETATO DE LISINA;CLORETO DE POTÁSSIO;GLICOSE MONOHIDRATADA;ARGININA
157,TRIPTOFANO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;SULFATO DE ZINCO HEPTAIDRATADO;LEVOMETIONINA;ÓLEO DE OLIVA;ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;PROLINA;CLORETO DE CÁLCIO DIIDRATADO;LEVOVALINA;ÓLEO DE PEIXE;SERINA;ACETATO DE SÓDIO TRIHIDRATADO;LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;TAURINA;ALANINA;ACETATO DE LISINA;CLORETO DE POTÁSSIO;GLICOSE MONOHIDRATADA;ARGININA
158,CIPROFLOXACINO
159,CLORIDRATO DE IRINOTECANO TRIIDRATADO
160,FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;TAURINA;ÁCIDO MÁLICO;ALANINA;ACETATO DE LISINA;CISTEÍNA;ARGININA
161,FENILALANINA;L-METIONINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;ACETILTIROSINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;TAURINA;ÁCIDO MÁLICO;ALANINA;ACETATO DE LISINA;ARGININA
162,FENILALANINA;L-METIONINA;PROLINA;TRIPTOFANO;LEVOVALINA;ACETIL CISTEÍNA;SERINA;HISTIDINA;TREONINA;ACETILTIROSINA;LEUCINA;GLICINA;ISOLEUCINA;TAURINA;ÁCIDO MÁLICO;ALANINA;ACETATO DE LISINA;ARGININA
163,PROPOFOL
164,CLORETO FÉRRICO;IODETO DE POTÁSSIO;CLORETO DE ZINCO;CLORETO CRÔMICO HEXAIDRATADO;DICLORETO DE MANGANÊS TETRAIDRATADO;SELENITO DE SÓDIO;CLORETO CÚPRICO;MOLIBDATO DE SÓDIO DIIDRATADO;FLUORETO DE SÓDIO
165,CITRATO DE FENTANILA
166,ADALIMUMABE
167,SULFATO DE TERBUTALINA
168,MESNA
169,TAZOBACTAM SÓDICO;PIPERACILINA SÓDICA
170,CLORIDRATO DE ONDANSETRONA
171,AZTREONAM
172,OXACILINA SÓDICA
173,TEICOPLANINA
174,AMPICILINA SÓDICA
175,CLAVULANATO DE POTÁSSIO;TICARCILINA DISSÓDICA
176,SUCCINATO SÓDICO DE HIDROCORTISONA
177,CLORIDRATO DE VANCOMICINA
178,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA
179,HEMITARTARATO DE NOREPINEFRINA
180,BENZILPENICILINA POTÁSSICA;BENZILPENICILINA PROCAÍNA
181,ACICLOVIR SÓDICO
182,CLORIDRATO DE CEFEPIMA
183,CLORIDRATO DE DOBUTAMINA
184,DICLOFENACO SÓDICO
185,FOSFATO DE CLINDAMICINA
186,FOSFATO DISSÓDICO DE DEXAMETASONA
187,CEFAZOLINA SÓDICA
188,CLORIDRATO DE GRANISETRONA
189,CLORIDRATO DE RANITIDINA
190,SUCCINATO SÓDICO DE CLORANFENICOL
191,CEFOXITINA SÓDICA
192,BROMETO DE PANCURÔNIO
193,MEROPENÉM TRI-HIDRATADO
194,CEFTAZIDIMA PENTAIDRATADA
195,CEFOTAXIMA SÓDICA
196,SULFATO DE GENTAMICINA
197,CLORIDRATO DE MIDAZOLAM
198,BENZILPENICILINA POTÁSSICA
199,SULBACTAM SÓDICO;AMPICILINA SÓDICA
200,CEFALOTINA SODICA
201,BROMETO DE ROCURÔNIO
202,SULFATO DE AMICACINA
203,IMIPENÉM;CILASTATINA SÓDICA
204,CLORIDRATO DE LIDOCAINA
205,SUCCINATO SÓDICO DE METILPREDNISOLONA
206,FOSFATO DISSÓDICO DE BETAMETASONA
207,TIOCOLCHICOSÍDEO
208,HALOPERIDOL
209,BESILATO DE ATRACÚRIO
210,FLUMAZENIL
211,CLAVULANATO DE POTÁSSIO;AMOXICILINA SÓDICA
212,CLORIDRATO DE CLONIDINA
213,ALFAOXOFENILPROPIONATO DE CÁLCIO;RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO;TRIPTOFANO;RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO;RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO;HISTIDINA;ACETATO DE LISINA;TREONINA;TIROSINA;RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO
214,ALANILGLUTAMINA
215,ÓLEO DE SOJA
216,ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;LECITINA DE OVO
217,FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;TAURINA;ALANINA;ACETATO DE LISINA;ARGININA
218,L-ALANINA;L-METIONINA;L-FENILALANINA;L-ISOLEUCINA;L-TREONINA;LEVOVALINA;TIROSINA;GLICINA;L-TRIPTOFANO;TAURINA;ACETATO DE LISINA;L-SERINA;ARGININA;L-HISTIDINA;L-PROLINA;L-LEUCINA
219,FENILALANINA;L-METIONINA;PROLINA;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;TAURINA;ALANINA;ACETATO DE LISINA;ARGININA
220,GLICEROFOSFATO DE SÓDIO
221,-
222,ÓLEO DE PEIXE
223,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO
224,IFOSFAMIDA
225,BUDESONIDA
226,MELOXICAM
227,ALPRAZOLAM
228,HEPARINA SÓDICA BOVINA
229,CLORIDRATO DE FLUOXETINA
230,CARBONATO DE LÍTIO
231,CLORIDRATO DE HIDROXOCOBALAMINA;FOSFATO DISSÓDICO DE DEXAMETASONA;DIPIRONA
232,ACETATO DE CIPROTERONA;ETINILESTRADIOL
233,LEVODROPROPIZINA
234,VINORELBINA
235,LEVOFLOXACINO HEMI-HIDRATADO
236,FENOXIMETILPENICILINA POTÁSSICA
237,BENZILPENICILINA BENZATINA
238,AMPICILINA ANIDRA
239,CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO
240,SIMETICONA;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO
241,ÓXIDO DE MAGNÉSIO;SIMETICONA;HIDRÓXIDO DE ALUMÍNIO
242,CEFTRIAXONA SÓDICA
243,CETOPROFENO
244,AMOXICILINA
245,AMOXICILINA;AMOXICILINA TRI-HIDRATADA
246,AMOXICILINA TRIHIDRATADA
247,OMEPRAZOL SÓDICO
248,CEFADROXILA
249,CEFALEXINA MONOIDRATADA
250,CLORIDRATO DE SERTRALINA
251,TENOXICAM
252,EBASTINA
253,GANCICLOVIR SÓDICO
254,ACETILCISTEÍNA
255,ACEBROFILINA
256,NIMESULIDA
257,CETOCONAZOL;DIPROPIONATO DE BETAMETASONA
258,AMOXICILINA TRI-HIDRATADA
259,ACECLOFENACO
260,SULFATO DE NEOMICINA;CETOCONAZOL;DIPROPIONATO DE BETAMETASONA
261,CLORIDRATO DE AMITRIPTILINA
262,AZITROMICINA DI-HIDRATADA
263,CLORIDRATO DE NORTRIPTILINA
264,CLORIDRATO DE BENZIDAMINA
265,FOSFATO DISSÓDICO DE BETAMETASONA;DIPROPIONATO DE BETAMETASONA
266,SULFATO DE POLIMIXINA B
267,ENANTATO DE NORETISTERONA;VALERATO DE ESTRADIOL
268,DIMETICONA
269,CLORIDRATO DE VENLAFAXINA
270,BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA
271,BETAMETASONA
272,CLORIDRATO DE CICLOBENZAPRINA
273,ATENOLOL;CLORTALIDONA
274,ESPIRONOLACTONA
275,CLORIDRATO DE ROPIVACAÍNA
276,GLIMEPIRIDA
277,CLONAZEPAM
278,TRIANCINOLONA ACETONIDA;SULFATO DE NEOMICINA;NISTATINA;GRAMICIDINA
279,SULFATO DE GENTAMICINA;DIPROPIONATO DE BETAMETASONA
280,CLORIDRATO DE AMILORIDA;CLORTALIDONA
281,CLORIDRATO DE SIBUTRAMINA MONOIDRATADO
282,ENANTATO DE ESTRADIOL;ALGESTONA ACETOFENIDA
283,TINIDAZOL;MICONAZOL
284,DICLORIDRATO DE LEVOCETIRIZINA
285,RISPERIDONA
286,AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO
287,MESILATO DE DOXAZOSINA
288,PARACETAMOL;FOSFATO DE CODEÍNA
289,POLIESTIRENOSSULFONATO DE CÁLCIO
290,NIMOTUZUMABE
291,ENOXAPARINA SÓDICA
292,DIMENIDRINATO;CLORIDRATO DE PIRIDOXINA
293,BISSULFATO DE CLOPIDOGREL
294,DOMPERIDONA
295,CITRATO DE SILDENAFILA
296,SULFATO DE CONDROITINA;SULFATO DE GLICOSAMINA
297,TRIANCINOLONA ACETONIDA
298,CLORETO DE SÓDIO;GLICOSE MONOIDRATADA
299,GLICOSE MONOIDRATADA
300,BICALUTAMIDA
301,OLANZAPINA
302,LAMOTRIGINA
303,ESOMEPRAZOL SÓDICO
304,HIDROCLOROTIAZIDA;IRBESARTANA
305,CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO
306,NITRATO DE FENTICONAZOL
307,ATORVASTATINA CÁLCICA
308,MESILATO DE DOXAZOSINA;FINASTERIDA
309,MALEATO DE TRIMEBUTINA
310,CLORIDRATO DE BETAISTINA
311,VALSARTANA
312,PROMESTRIENO
313,HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA
314,HESPERIDINA;DIOSMINA
315,DIOSMINA;FLAVONÓIDES EXPRESSOS EM HESPERIDINA
316,TADALAFILA
317,NITAZOXANIDA
318,ACETATO DE CASPOFUNGINA
319,HEMIFUMARATO DE QUETIAPINA
320,DIENOGESTE
321,INDAPAMIDA
322,DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO
323,DICLORIDRATO DE PRAMIPEXOL
324,CLORIDRATO DE MOXIFLOXACINO
325,FILGRASTIM
326,LINEZOLIDA
327,PROPIONATO DE FLUTICASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO
328,CLORIDRATO DE CIPROFLOXACINO
329,ITRACONAZOL
330,HIDROXIZINA
331,CABAZITAXEL
332,CLORIDRATO DE DONEPEZILA
333,SULFATO DE GLICOSAMINA CLORETO DE SÓDIO;SULFATO DISSÓDICO DE CONDROITINA
334,VORICONAZOL
335,FERRIPOLIMALTOSE
336,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO
337,CAPECITABINA
338,ALENDRONATO DE SÓDIO
339,ESOMEPRAZOL MAGNÉSICO
340,DICLORIDRATO DE HIDROXIZINA;HIDROXIZINA;CLORIDRATO DE HIDROXIZINA
341,CELECOXIBE
342,CIPROFIBRATO
343,ACICLOVIR
344,HEMITARTARATO DE ZOLPIDEM
345,DICLOFENACO DE SÓDIO;CARISOPRODOL;PARACETAMOL;CAFEÍNA
346,CLORIDRATO DE DEXMEDETOMIDINA
347,UNDECILATO DE TESTOSTERONA
348,TIGECICLINA
349,ESZOPICLONA
350,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO
351,PREDNISOLONA
352,LEVETIRACETAM
353,BROMIDRATO DE CITALOPRAM
354,RISEDRONATO SÓDICO
355,CLORIDRATO DE FEXOFENADINA
356,CABERGOLINA
357,TEMOZOLOMIDA
358,CLORIDRATO DE LORCASSERINA HEMI-HIDRATADO
359,TRIMETOPRIMA;SULFAMETOXAZOL
360,DAPTOMICINA
361,IBANDRONATO DE SÓDIO MONOIDRATADO
362,IBANDRONATO DE SÓDIO
363,ACETATO DE CLORMADINONA;ETINILESTRADIOL
364,OLMESARTANA MEDOXOMILA
365,NITRATO DE MICONAZOL;TINIDAZOL
366,FOSFATO SÓDICO DE PREDNISOLONA
367,CLORIDRATO DE TRAMADOL;PARACETAMOL
368,PREGABALINA
369,CLORIDRATO DE METILFENIDATO
370,CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA
371,CITRATO DE SÓDIO DI-HIDRATADO
372,DELAFLOXACINO MEGLUMINA
373,NITRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA
374,CLORIDRATO DE REMIFENTANILA
375,EXEMESTANO
376,FOSFATO DISSÓDICO DE DEXAMETASONA;CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA
377,BILASTINA
378,TARTARATO DE EVOGLIPTINA
379,RIVAROXABANA
380,ACETATO DE RACEALFATOCOFEROL
381,DEXAMETASONA
382,SUGAMADEX SÓDICO
383,SORBITOL 70 %;LAURIL SULFATO DE SÓDIO
384,TRICLOSANA;MENTOL;BENZOCAÍNA
385,CLORIDRATO DE AMANTADINA
386,LEVOFLOXACINO HEMIIDRATADO
387,DECITABINA
388,ISOTRETINOÍNA
389,DICLORIDRATO DE LEVOCETIRIZINA;MONTELUCASTE DE SÓDIO
390,MINOXIDIL
391,LENALIDOMIDA
392,CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA;DICLOFENACO SÓDICO
393,BESILATO DE ANLODIPINO
394,CITRATO DE TAMOXIFENO
395,CLORIDRATO DE SOTALOL
396,CLORIDRATO DE LOPERAMIDA
397,DOXICICLINA MONOIDRATADA
398,ALOPURINOL
399,ATENOLOL
400,ACETATO DE LEUPRORRELINA
401,CLAVULANATO DE POTÁSSIO;AMOXICILINA
402,NORFLOXACINO
403,MIRTAZAPINA
404,SOMATROPINA
405,RABEPRAZOL SÓDICO
406,VALSARTANA;BESILATO DE ANLODIPINO
407,VALSARTANA;HIDROCLOROTIAZIDA;BESILATO DE ANLODIPINO
408,ARIPIPRAZOL
409,CLORIDRATO DE CINACALCETE
410,GABAPENTINA
411,CLORIDRATO DE CLOMIPRAMINA
412,ETANERCEPTE
413,CARBIDOPA (PORT. 344/98 LISTA C 1);ENTACAPONA;LEVODOPA
414,ENTACAPONA
415,BROLUCIZUMABE
416,CICLOSPORINA
417,CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO
418,TRICLOSANA;ALANTOÍNA;ÓXIDO DE ZINCO
419,DIPROPIONATO DE BECLOMETASONA
420,CLORIDRATO DE HIDROXOCOBALAMINA;TRIPTOFANO;CLORIDRATO DE ARGININA;GLUTAMINA;FOSFATO DE LEVOTREONINA;DEXFOSFOSSERINA
421,CLORIDRATO DE BAMIFILINA
422,ALFAPORACTANTO
423,SULFATO DE SALBUTAMOL;DIPROPIONATO DE BECLOMETASONA
424,DICLORIDRATO DE MANIDIPINO
425,PIROXICAM BETACICLODEXTRINA
426,CITRATO DE CÁLCIO;COLECALCIFEROL
427,DEFERIPRONA
428,CLORIDRATO DE SELEGILINA
429,LEVOCETIRIZINA
430,CLORIDRATO DE DELAPRIL;DICLORIDRATO DE MANIDIPINO
431,TOBRAMICINA
432,DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO
433,FUMARATO DE FORMOTEROL;DIPROPIONATO DE BECLOMETASONA
434,DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DIIDRATADO
435,CITRATO DE CAFEÍNA
436,BROMETO DE GLICOPIRRÔNIO;DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO
437,ALFAVELMANASE
438,LISADO BACTERIANO
439,IMIPENÉM MONOIDRATADO
440,MEROPENÉM
441,ISOFLURANO
442,SEVOFLURANO
443,MICOFENOLATO DE MOFETILA
444,CEFUROXIMA SÓDICA
445,CLORIDRATO DE ROPIVACAÍNA MONOIDRATADO
446,CAFEÍNA;ÁCIDO ACETIL SALICILICO
447,SACARATO DE ÓXIDO FÉRRICO
448,CYNARA SCOLYMUS L.
449,AESCULUS HIPPOCASTANUM L.
450,CÂNFORA
451,PAPAVER SOMNIFERUM L.
452,BASILIXIMAB
453,OCTREOTIDA
454,ACETATO DE OCTREOTIDA
455,CLORIDRATO DE HIDRALAZINA
456,MESILATO DE BROMOCRIPTINA
457,FUMARATO DE FORMOTEROL
458,FUMARATO DE FORMOTEROL DI-HIDRATADO
459,DICLOFENACO ÁCIDO
460,DICLOFENACO POTÁSSICO
461,OXCARBAZEPINA
462,MESILATO DE DESFERROXAMINA
463,CLORIDRATO DE TIZANIDINA
464,BACLOFENO
465,TARTARATO DE METOPROLOL
466,CARBAMAZEPINA
467,VALSARTANA;HIDROCLOROTIAZIDA
468,HIDROGENOTARTARATO DE RIVASTIGMINA
469,RIVASTIGMINA
470,DICLOFENACO COLESTIRAMINA
471,HEMIDRATO DE ESTRADIOL;ACETATO DE NORETISTERONA
472,BUDESONIDA;FUMARATO DE FORMOTEROL DI-HIDRATADO
473,ESTRADIOL HEMI-HIDRATADO
474,MICOFENOLATO DE SÓDIO
475,DICLOFENACO SÓDICO;FOSFATO DE CODEÍNA HEMI-HIDRATADO
476,OMALIZUMABE
477,DEFERASIROX
478,VILDAGLIPTINA
479,RANIBIZUMABE
480,VILDAGLIPTINA;CLORIDRATO DE METFORMINA
481,NILOTINIBE
482,CANAQUINUMABE
483,MALEATO DE INDACATEROL
484,CLORIDRATO DE FINGOLIMODE
485,TARTARATO DE BRIMONIDINA
486,DEXAMETASONA;CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO
487,CLORIDRATO DE PROXIMETACAÍNA
488,CLORIDRATO DE NAFAZOLINA
489,DEXTRANA;HIPROMELOSE;GLICEROL
490,ACETATO DE FLUORMETOLONA
491,DEXAMETASONA;TOBRAMICINA
492,DEXTRANA;HIPROMELOSE
493,FOSFATO DISSÓDICO DE DEXAMETASONA;CLORIDRATO DE MOXIFLOXACINO
494,TRAVOPROSTA;MALEATO ÁCIDO DE TIMOLOL
495,NEPAFENACO
496,DEXAMETASONA;SULFATO DE NEOMICINA;SULFATO DE POLIMIXINA B
497,TROPICAMIDA
498,MALEATO ÁCIDO DE TIMOLOL;BRINZOLAMIDA
499,TRAVOPROSTA
500,CLORIDRATO DE OLOPATADINA
501,CLORIDRATO DE BETAXOLOL
502,BRINZOLAMIDA
503,CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA
504,HIDROXIQUINOLINA;TROLAMINA
505,BROMETO DE GLICOPIRRÔNIO
506,FOSFATO DE RUXOLITINIBE
507,SECUQUINUMABE
508,MALEATO DE INDACATEROL;BROMETO DE GLICOPIRRÔNIO
509,DIMETILSULFÓXIDO DE TRAMETINIBE
510,TARTARATO DE BRIMONIDINA;BRINZOLAMIDA
511,ELTROMBOPAGUE OLAMINA
512,MESILATO DE DABRAFENIBE
513,CLORIDRATO DE PAZOPANIBE
